SENT	1927E-ZARETSKI-SHOLEM,5.3
1	koydemkol	ADV	קודם-כּל	kvdM-Kl	_
5	op	RP	אָפּ	Aop	_
6	gebn	VB	געבן	gebN	_
7	dos	D	דאָס	dAos	_
8	?	PUNC	?	?	_

SENT	1927E-ZARETSKI-SHOLEM,8.95
1	vel	MDF	װעל	Vel	_
2	ikh	PRO	איך	AyX	_
3	hobn	VB	האָבן	hAobN	_
4	berls	NPR$	בערלס	berls	_
5	psak	N	פּסק	psk	_

SENT	1927E-ZARETSKI-SHOLEM,8.96
1	5.	LS	5.	5.	_
2	zeltn	ADV	זעלטן	zeltN	_
3	-	PUNC	-	-	_
4	in	P	אין	AyN	_
5	andere	ADJ	אַנדערע	Aandere	_
6	faln	N	פֿאַלן	fAalN	_
7	,	PUNC	,	,	_
8	ts.b.	X	צ.ב.	q.b.	_
9	in	P	אין	AyN	_
10	fregzats	N	פֿרעגזאַץ	fregzAaQ	_
11	on	P	אָן	AoN	_
12	a	D	אַ	Aa	_
13	subyekt	N	סוביעקט	svbyekt	_
14	:	PUNC	:	:	_
15	bist	VBF	ביסט	byst	_
16	shoyn	ADV	שױן	$WN	_
17	vider	ADV	װידער	Vyder	_
18	do	ADV	דאָ	dAo	_
19	?	PUNC	?	?	_

SENT	1927E-ZARETSKI-SHOLEM,8.97
1	a.a.	LS	אַ.אַ.	Aa.Aa.	_
2	interesant	ADJ	אינטערעסאַנט	AynteresAant	_
3	iz	VBF	איז	Ayz	_
4	der	D	דער	der	_
5	banuts	N	באַנוץ	bAanvQ	_
6	fun	P	פֿון	fvN	_
7	"	PUNC	"	"	_
8	es	ES	עס	es	_
9	"	PUNC	"	"	_
10	,	PUNC	,	,	_
11	vi	P	װי	Vy	_
12	es	ES	עס	es	_
13	tsitert	VBF	ציטערט	qytert	_
14	mir	PRO	מיר	myr	_
15	di	D	די	dy	_
16	hant	N	האַנט	hAant	_
17	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,8.98
1	es	ES	עס	es	_
2	dakht	VBF	דאַכט	dAaxt	_
3	zikh	PRO	זיך	zyX	_
4	mikh	PRO	מיך	myX	_
5	,	PUNC	,	,	_
6	az	C	אַז	Aaz	_
7	ikh	PRO	איך	AyX	_
8	halt	VBF	האַלט	hAalt	_
9	in	P	אין	AyN	_
10	di	D	די	dy	_
11	hent	N	הענט	hent	_
12	...	PUNC	...	...	_
13	u.d.g.	X	או.ד.ג.	Av.d.g.	_

SENT	1927E-ZARETSKI-SHOLEM,9.99
1	me	PRO	מע	me	_
2	meynt	VBF	מײנט	mYnt	_
3	oftmal	ADV	אָפֿטמאַל	AoftmAal	_
4	,	PUNC	,	,	_
5	az	C	אַז	Aaz	_
6	di	D	די	dy	_
7	funktsie	N	פֿונקציִע	fvnkqyie	_
8	fun	P	פֿון	fvN	_
9	dem	D	דעם	deM	_
10	"	PUNC	"	"	_
11	es	ES	עס	es	_
12	"	PUNC	"	"	_
13	iz	VBF	איז	Ayz	_
14	tsu	TO	צו	qv	_
15	farbeytn	VB	פֿאַרבײטן	fAarbYtN	_
16	dem	D	דעם	deM	_
17	subyekt	N	סוביעקט	svbyekt	_
18	,	PUNC	,	,	_
19	vos	C	װאָס	VAos	_
20	darf	MDF	דאַרף	dAarF	_
21	kloymersht	ADV	כּלומרשט	Klvmr$t	_
22	normal	ADV	נאָרמאַל	nAormAal	_
23	kumen	VB	קומען	kvmeN	_
24-25	afn	P~D	אַפֿן	AafN	_
24	af	P	אַף	AaF	_
25	n	D	נ	n	_
26	erstn	ADJ	ערסטן	erstN	_
27	ort	N	אָרט	Aort	_
28	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.100
1	fn._4	LS	פֿן._4	fN._4	_
2	ikh	PRO	איך	AyX	_
3	ken	MDF	קען	keN	_
4	nokh	ADV	נאָך	nAoX	_
5-6	tsugebn	RP~VB	צוגעבן	qvgebN	_
5	tsu	RP	צו	qv	_
6	gebn	VB	געבן	gebN	_
7	,	PUNC	,	,	_
8	az	C	אַז	Aaz	_
9	in	P	אין	AyN	_
10	666	NUM	666	666	_
11	faln	N	פֿאַלן	fAalN	_
12	fun	P	פֿון	fvN	_
13	di	D	די	dy	_
14	1255	N	1255	1255	_
15	kumt	VBF	קומט	kvmt	_
16-17	afn	P~D	אַפֿן	AafN	_
16	af	P	אַף	AaF	_
17	n	D	נ	n	_
18	erstn	ADJ	ערסטן	erstN	_
19	ort	N	אָרט	Aort	_
20	der	D	דער	der	_
21	subyekt	N	סוביעקט	svbyekt	_
22	,	PUNC	,	,	_
23	in	P	אין	AyN	_
24	521	NUM	521	521	_
25	faln	N	פֿאַלן	fAalN	_
26	-	PUNC	-	-	_
27	an	D	אַן	AaN	_
28	ander	ADJ	אַנדער	Aander	_
29	zatsteyl	N	זאַצטײל	zAaqtYl	_
30	oder	CONJ	אָדער	Aoder	_
31	a	D	אַ	Aa	_
32	gantser	ADJ	גאַנצער	gAanqer	_
33	beyzats	N	בײזאַץ	bYzAaQ	_
34	,	PUNC	,	,	_
35	in	P	אין	AyN	_
36	68	NUM	68	68	_
37	faln	N	פֿאַלן	fAalN	_
38	-	PUNC	-	-	_
39	der	D	דער	der	_
40	tsugab	N	צוגאַב	qvgAab	_
41	es	ES	עס	es	_
42	,	PUNC	,	,	_
43	se	ES	סע	se	_
44	,	PUNC	,	,	_
45	s'	ES	ס'	s'	_
46	,	PUNC	,	,	_
47	vos	C	װאָס	VAos	_
48	vet	MDF	װעט	Vet	_
49	nokh	ADV	נאָך	nAoX	_
50	bahandlt	VAN	באַהאַנדלט	bAahAandlt	_
51	vern	RD	װערן	VerN	_
52	in	P	אין	AyN	_
53	tekst	N	טעקסט	tekst	_
54	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.101
1	fn._5	LS	פֿן._5	fN._5	_
2	der	D	דער	der	_
3	zats	N	זאַץ	zAaQ	_
4	heybt	VBF	הײבט	hYbt	_
5	zikh	PRO	זיך	zyX	_
6	on	RP	אָן	AoN	_
7	fun	P	פֿון	fvN	_
8	"	PUNC	"	"	_
9	shreyt-	VBF	שרײט-	$rYt-	_
10	oys	RP	אױס	AWs	_
11	"	PUNC	"	"	_
12	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,9.102
1	"	PUNC	"	"	_
2	sssa:	INTJ	סססאַ:	sssAa:	_
3	"	PUNC	"	"	_
4	iz	VBF	איז	Ayz	_
5	gramatish	ADV	גראַמאַטיש	grAamAaty$	_
6	a	D	אַ	Aa	_
7	bazunder	ADJ	באַזונדער	bAazvnder	_
8	baheft	N	באַהעפֿט	bAaheft	_
9	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.103
1	s'	PRO	ס'	s'	_
2	iz	VBF	איז	Ayz	_
3	nit	NEG	ניט	nyt	_
4	rikhtik	ADJ	ריכטיק	ryxtyk	_
5	:	PUNC	:	:	_

SENT	1927E-ZARETSKI-SHOLEM,9.104
1	mir	PRO	מיר	myr	_
2	zeen	VBF	זעען	zeeN	_
3	dem	D	דעם	deM	_
4	"	PUNC	"	"	_
5	es	ES	עס	es	_
6	"	PUNC	"	"	_
7	sey	CONJ	סײ	sY	_
8	in	P	אין	AyN	_
9	subyektive	N	סוביעקטיװע	svbyektyVe	_
10	,	PUNC	,	,	_
11	sey	CONJ	סײ	sY	_
12	in	P	אין	AyN	_
13	onsubyektive	ADJ	אָנסוביעקטיװע	AonsvbyektyVe	_
14	zatsn	N	זאַצן	zAaqN	_
15	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.105
1	akegn	ADV	אַקעגן	AakegN	_
2	,	PUNC	,	,	_
3	trefn	VBF	טרעפֿן	trefN	_
4	mir	PRO	מיר	myr	_
5	oftmal	ADV	אָפֿטמאַל	AoftmAal	_
6	zatsn	N	זאַצן	zAaqN	_
7	,	PUNC	,	,	_
8	vau	WADV	װאַו	VAav	_
9	der	D	דער	der	_
10	subyekt	N	סוביעקט	svbyekt	_
11	iz	VBF	איז	Ayz	_
12	nit	NEG	ניט	nyt	_
13-14	afn	P~D	אַפֿן	AafN	_
13	af	P	אַף	AaF	_
14	n	D	נ	n	_
15	erstn	ADJ	ערסטן	erstN	_
16	ort	N	אָרט	Aort	_
17	,	PUNC	,	,	_
18	un	CONJ	און	AvN	_
19	keyn	Q	קײן	kYN	_
20	"	PUNC	"	"	_
21	es	ES	עס	es	_
22	"	PUNC	"	"	_
23	iz	VBF	איז	Ayz	_
24	dortn	ADV	דאָרטן	dAortN	_
25-26	nito	NEG~ADV	ניטאָ	nytAo	_
25	nit	NEG	ניט	nyt	_
26	o	ADV	אָ	Ao	_
27	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.106
1	di	D	די	dy	_
2	funktsie	N	פֿונקציִע	fvnkqyie	_
3	fun	P	פֿון	fvN	_
4	"	PUNC	"	"	_
5	es	ES	עס	es	_
6	"	PUNC	"	"	_
7	iz	VBF	איז	Ayz	_
8	-	PUNC	-	-	_
9	tsu	TO	צו	qv	_
10	makhn	VB	מאַכן	mAaxN	_
11	,	PUNC	,	,	_
12	az	C	אַז	Aaz	_
13	der	D	דער	der	_
14	zats	N	זאַץ	zAaQ	_
15	zal	MDF	ז"ל	z"l	_
16	zikh	PRO	זיך	zyX	_
17	nit	NEG	ניט	nyt	_
18-19	onheybn	RP~VB	אָנהײבן	AonhYbN	_
18	on	RP	אָן	AoN	_
19	heybn	VB	הײבן	hYbN	_
20-21	mitn	P~D	מיטן	mytN	_
20	mit	P	מיט	myt	_
21	n	D	נ	n	_
22	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
23	,	PUNC	,	,	_
24	oyb	C	אױב	AWb	_
25	s'	ES	ס'	s'	_
26	iz	VBF	איז	Ayz	_
27	nit	NEG	ניט	nyt	_
28	neytik	ADJ	נײטיק	nYtyk	_
29-31	oystsudrikn	RP~TO~VB	אױסצודריקן	AWsqvdrykN	_
29	oys	RP	אױס	AWs	_
30	tsu	TO	צו	qv	_
31	drikn	VB	דריקן	drykN	_
32	keyn	Q	קײן	kYN	_
33	farbindung	N	פֿאַרבינדונג	fAarbyndvng	_
34	mit	P	מיט	myt	_
35	frierdikn	N	פֿריִערדיקן	fryierdykN	_
36	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.107
1	ven	C	װען	VeN	_
2	sholem-aleykem	NPR	שלום-אַלײקעם	$lvM-AalYkeM	_
3	volt	VLF	װאָלט	VAolt	_
4	gezogt	VBN	געזאָגט	gezAogt	_
5	tsitert	VBF	ציטערט	qytert	_
6	mir	PRO	מיר	myr	_
7	di	D	די	dy	_
8	hant	N	האַנט	hAant	_
9	"	PUNC	"	"	_
10	,	PUNC	,	,	_
11	volt	VLF	װאָלט	VAolt	_
12	es	PRO	עס	es	_
13	geheysn	VBN	געהײסן	gehYsN	_
14	demolt	ADV	דעמאָלט	demAolt	_
15	,	PUNC	,	,	_
16	oder	CONJ	אָדער	Aoder	_
17	deriber	DR+P	דעריבער	deryber	_
18	,	PUNC	,	,	_
19	oder	CONJ	אָדער	Aoder	_
20	in	P	אין	AyN	_
21	aza	ADJ	אַזאַ	AazAa	_
22	fal	N	פֿאַל	fAal	_
23	u.d.g.	X	או.ד.ג.	Av.d.g.	_
24	tsitert	VBF	ציטערט	qytert	_
25	mir	PRO	מיר	myr	_
26	di	D	די	dy	_
27	hant	N	האַנט	hAant	_
28	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.108
1	er	PRO	ער	er	_
2	hot	HVF	האָט	hAot	_
3	ober	ADV	אָבער	Aober	_
4	nit	NEG	ניט	nyt	_
5	gevolt	MDN	געװאָלט	geVAolt	_
6	gebn	VB	געבן	gebN	_
7	do	ADV	דאָ	dAo	_
8	keyn	Q	קײן	kYN	_
9	farbindung	N	פֿאַרבינדונג	fAarbyndvng	_
10	mit	P	מיט	myt	_
11	frierdikn	N	פֿריִערדיקן	fryierdykN	_
12	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.109
1	hot	HVF	האָט	hAot	_
2	er	PRO	ער	er	_
3	gehat	VBN	געהאַט	gehAat	_
4	far	P	פֿאַר	fAar	_
5	zikh	PRO	זיך	zyX	_
6	tsvey	NUM	צװײ	qVY	_
7	meglikhkeytn	N	מעגליכקײטן	meglyxkYtN	_
8	:	PUNC	:	:	_
9	oder	CONJ	אָדער	Aoder	_
10	shteln	VB	שטעלן	$telN	_
11-12	afn	P~D	אַפֿן	AafN	_
11	af	P	אַף	AaF	_
12	n	D	נ	n	_
13	erstn	ADJ	ערסטן	erstN	_
14	ort	N	אָרט	Aort	_
15	nit	NEG	ניט	nyt	_
16	dos	D	דאָס	dAos	_
17	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
18	,	PUNC	,	,	_
19	neyert	CONJ	נײערט	nYert	_
20	an	D	אַן	AaN	_
21	ander	ADJ	אַנדער	Aander	_
22	zatsglid	N	זאַצגליד	zAaqglyd	_
23	:	PUNC	:	:	_
24	mir	PRO	מיר	myr	_
25	tsitert	VBF	ציטערט	qytert	_
26	di	D	די	dy	_
27	hant	N	האַנט	hAant	_
28	,	PUNC	,	,	_
29	di	D	די	dy	_
30	hant	N	האַנט	hAant	_
31	tsitert	VBF	ציטערט	qytert	_
32	mir	PRO	מיר	myr	_
33	,	PUNC	,	,	_
34	oder	CONJ	אָדער	Aoder	_
35	shteln	VB	שטעלן	$telN	_
36-37	farn	P~D	פֿאַרן	fAarN	_
36	far	P	פֿאַר	fAar	_
37	n	D	נ	n	_
38	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
39	dem	D	דעם	deM	_
40	"	PUNC	"	"	_
41	fiktivn	ADJ	פֿיקטיװן	fyktyVN	_
42	zatsglid	N	זאַצגליד	zAaqglyd	_
43	"	PUNC	"	"	_
44	es	ES	עס	es	_
45	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.110
1	ven	WADV	װען	VeN	_
2	kleybt	VBF	קלײבט	klYbt	_
3	oys	RP	אױס	AWs	_
4	der	D	דער	der	_
5	shreyber	N	שרײבער	$rYber	_
6	di	D	די	dy	_
7	erste	ADJ	ערסטע	erste	_
8	meglikhkeyt	N	מעגליכקײט	meglyxkYt	_
9	un	CONJ	און	AvN	_
10	ven	WADV	װען	VeN	_
11	di	D	די	dy	_
12	tsveyte	ADJ	צװײטע	qVYte	_
13	-	PUNC	-	-	_
14	dos	D	דאָס	dAos	_
15	iz	VBF	איז	Ayz	_
16	mir	PRO	מיר	myr	_
17	nokh	ADV	נאָך	nAoX	_
18	nit	NEG	ניט	nyt	_
19	gants	ADV	גאַנץ	gAanQ	_
20	klar	ADJ	קלאַר	klAar	_
21	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.111
1	dukhtn	VB	דוכטן	dvxtN	_
2	dukht	VBF	דוכט	dvxt	_
3	mir	PRO	מיר	myr	_
4	,	PUNC	,	,	_
5	az	C	אַז	Aaz	_
6	do	ADV	דאָ	dAo	_
7	shpilt	VBF	שפּילט	$pylt	_
8	a	D	אַ	Aa	_
9	role	N	ראָלע	rAole	_
10	der	D	דער	der	_
11	ritm	N	ריטם	rytM	_
12	,	PUNC	,	,	_
13	oftmal	ADV	אָפֿטמאַל	AoftmAal	_
14	di	D	די	dy	_
15	shtrebung	N	שטרעבונג	$trebvng	_
16	tsu	TO	צו	qv	_
17	shteln	VB	שטעלן	$telN	_
18	dem	D	דעם	deM	_
19	aktsentirtn	ADJ	אַקצענטירטן	AakqentyrtN	_
20	zatsglid	N	זאַצגליד	zAaqglyd	_
21	neenter	ADV	נעענטער	neenter	_
22-23	tsum	P~D	צום	qvM	_
22	tsu	P	צו	qv	_
23	m	D	מ	m	_
24	sof	N	סוף	svF	_
25	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.112
1	in	P	אין	AyN	_
2	18	NUM	18	18	_
3	faln	N	פֿאַלן	fAalN	_
4	kumt	VBF	קומט	kvmt	_
5	dos	D	דאָס	dAos	_
6	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
7-8	afn	P~D	אַפֿן	AafN	_
7	af	P	אַף	AaF	_
8	n	D	נ	n	_
9	dritn	ADJ	דריטן	drytN	_
10	ort	N	אָרט	Aort	_
11	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.113
1	fun	P	פֿון	fvN	_
2	18	NUM	18	18	_
3	faln	N	פֿאַלן	fAalN	_
4	kan	MDF	ק"ן	k"N	_
5	men	PRO	מען	meN	_
6	keyne	Q	קײנע	kYne	_
7	bagrindete	ADJ	באַגרינדעטע	bAagryndete	_
8	oysfirn	N	אױספֿירן	AWsfyrN	_
9	nit	NEG	ניט	nyt	_
10	makhn	VB	מאַכן	mAaxN	_
11	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.114
1	ikh	PRO	איך	AyX	_
2	vel	MDF	װעל	Vel	_
3	nor	FP	נאָר	nAor	_
4	breyngen	VB	ברײנגען	brYngeN	_
5	etlekhe	Q	עטלעכע	etlexe	_
6	beyshpiln	N	בײשפּילן	bY$pylN	_
7	:	PUNC	:	:	_

SENT	1927E-ZARETSKI-SHOLEM,9.115
1	vi	WADV	װי	Vy	_
2	sheyn	ADJ	שײן	$YN	_
3	,	PUNC	,	,	_
4	vi	WADV	װי	Vy	_
5	likhtik	ADJ	ליכטיק	lyxtyk	_
6	dort	ADV	דאָרט	dAort	_
7	iz	VBF	איז	Ayz	_
8	!	PUNC	!	!	_

SENT	1927E-ZARETSKI-SHOLEM,9.116
1	sa	WD	סאַ	sAa	_
2	harber	ADJ	האַרבער	hAarber	_
3	khreyn	N	כרײן	xrYN	_
4	dos	D	דאָס	dAos	_
5	iz	VBF	איז	Ayz	_
6	!	PUNC	!	!	_

SENT	1927E-ZARETSKI-SHOLEM,9.117
1	azelkhe	ADJ	אַזעלכע	Aazelxe	_
2	oysrufzatsn	N	אױסרופֿזאַצן	AWsrvfzAaqN	_
3	kumen	VBF	קומען	kvmeN	_
4	far	RP	פֿאַר	fAar	_
5	-	PUNC	-	-	_
6	7	NUM	7	7	_
7	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.118
1	ba	P	באַ	bAa	_
2	mir	PRO	מיר	myr	_
3	tsulib	P	צוליב	qvlyb	_
4	nitsokhn	NPR	נצחון	nqHvN	_
5	iz	VBF	איז	Ayz	_
6	kedai	X	קעדאַיִ	kedAayi	_
7	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.119
1	me	PRO	מע	me	_
2	volt	VLF	װאָלט	VAolt	_
3	gekent	MDN	געקענט	gekent	_
4	zogn	VB	זאָגן	zAogN	_
5	-	PUNC	-	-	_
6-7	mitn	P~D	מיטן	mytN	_
6	mit	P	מיט	myt	_
7	n	D	נ	n	_
8	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
9-10	afn	P~D	אַפֿן	AafN	_
9	af	P	אַף	AaF	_
10	n	D	נ	n	_
11	II	ADJ	איי	Ayy	_
12	ort	N	אָרט	Aort	_
13	:	PUNC	:	:	_
14	tsulib	P	צוליב	qvlyb	_
15	nitsokhn	NPR	נצחון	nqHvN	_
16	iz	VBF	איז	Ayz	_
17	ba	P	באַ	bAa	_
18	mir	PRO	מיר	myr	_
19	kedai	X	קעדאַיִ	kedAayi	_
20	fn._6	REF	פֿן._6	fN._6	_

SENT	1927E-ZARETSKI-SHOLEM,9.120
1	ober	CONJ	אָבער	Aober	_
2	oyb	C	אױב	AWb	_
3-4	onheybn	RP~VB	אָנהײבן	AonhYbN	_
3	on	RP	אָן	AoN	_
4	heybn	VB	הײבן	hYbN	_
5	fun	P	פֿון	fvN	_
6	"	PUNC	"	"	_
7	ba	P	באַ	bAa	_
8	mir	PRO	מיר	myr	_
9	"	PUNC	"	"	_
10	iz	VBF	איז	Ayz	_
11	shoyn	ADV	שױן	$WN	_
12	shver	ADJ	שװער	$Ver	_
13	tsu	TO	צו	qv	_
14	shteln	VB	שטעלן	$telN	_
15	dos	D	דאָס	dAos	_
16	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
17-18	afn	P~D	אַפֿן	AafN	_
17	af	P	אַף	AaF	_
18	n	D	נ	n	_
19	tsveytn	ADJ	צװײטן	qVYtN	_
20	ort	N	אָרט	Aort	_
21	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.121
1	un	CONJ	און	AvN	_
2	der	D	דער	der	_
3	tote	N	טאָטע	tAote	_
4	,	PUNC	,	,	_
5	af	P	אַף	AaF	_
6	im	PRO	אים	AyM	_
7	kukndik	VAG	קוקנדיק	kvkndyk	_
8	,	PUNC	,	,	_
9	tsankt	VBF	צאַנקט	qAankt	_
10	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.122
1-2	mitn	P~D	מיטן	mytN	_
1	mit	P	מיט	myt	_
2	n	D	נ	n	_
3	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
4-5	afn	P~D	אַפֿן	AafN	_
4	af	P	אַף	AaF	_
5	n	D	נ	n	_
6	II	ADJ	איי	Ayy	_
7	ort	N	אָרט	Aort	_
8	volt	VLF	װאָלט	VAolt	_
9	di	D	די	dy	_
10	intonatsie	N	אינטאָנאַציִע	AyntAonAaqyie	_
11	geven	VBN	געװען	geVeN	_
12	shver	ADJ	שװער	$Ver	_
13	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.123
1	bekheyn	ADV	בכן	bxN	_
2	ken	MDF	קען	keN	_
3	men	PRO	מען	meN	_
4	haltn	VB	האַלטן	hAaltN	_
5	,	PUNC	,	,	_
6	az	C	אַז	Aaz	_
7	in	P	אין	AyN	_
8	sholem-aleykhems	NPR$	שלום-אַלײכעמס	$lvM-AalYxems	_
9	shprakh	N	שפּראַך	$prAaX	_
10	un	CONJ	און	AvN	_
11	dos	D	דאָס	dAos	_
12	iz	VBF	איז	Ayz	_
13	kimat	ADV	כּמעט	Kmet	_
14	dos	D	דאָס	dAos	_
15	zelbe	ADJ	זעלבע	zelbe	_
16	,	PUNC	,	,	_
17	vos	C	װאָס	VAos	_
18	di	D	די	dy	_
19	sagteglekhe	ADJ	סאַגטעגלעכע	sAagteglexe	_
20	reydsprakh	N	רײדספּראַך	rYdsprAaX	_
21	kumt	VBF	קומט	kvmt	_
22	der	D	דער	der	_
23	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
24	normal	ADV	נאָרמאַל	nAormAal	_
25-26	afn	P~D	אַפֿן	AafN	_
25	af	P	אַף	AaF	_
26	n	D	נ	n	_
27	II	ADJ	איי	Ayy	_
28	ort	N	אָרט	Aort	_
29	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.124
1	dos	D	דאָס	dAos	_
2	iz	VBF	איז	Ayz	_
3	der	D	דער	der	_
4	gruntgezets	N	גרונטגעזעץ	grvntgezeQ	_
5	fun	P	פֿון	fvN	_
6	yidishn	ADJ	ייִדישן	yyidy$N	_
7	verterseyder	N	װערטערסײדער	VertersYder	_
8	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.125
1-2	afn	P~D	אַפֿן	AafN	_
1	af	P	אַף	AaF	_
2	n	D	נ	n	_
3	I	ADJ	אי	Ay	_
4	ort	N	אָרט	Aort	_
5	shteyt	VBF	שטײט	$tYt	_
6	dos	D	דאָס	dAos	_
7	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
8	derheypt	ADJ	דערהײפּט	derhYpt	_
9	,	PUNC	,	,	_
10	ven	C	װען	VeN	_
11	der	D	דער	der	_
12	zats	N	זאַץ	zAaQ	_
13	iz	BEF	איז	Ayz	_
14	farbundn	VAN	פֿאַרבונדן	fAarbvndN	_
15-16	mitn	P~D	מיטן	mytN	_
15	mit	P	מיט	myt	_
16	n	D	נ	n	_
17	frierdiker	N	פֿריִערדיקער	fryierdyker	_
18	,	PUNC	,	,	_
19	a	D	אַ	Aa	_
20	hemsekh	N	העמסעך	hemseX	_
21	oder	CONJ	אָדער	Aoder	_
22	konsekvents	N	קאָנסעקװענץ	kAonsekVenQ	_
23	,	PUNC	,	,	_
24	oykh	ADV	אױך	AWX	_
25	ven	C	װען	VeN	_
26	dos	D	דאָס	dAos	_
27	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
28	iz	VBF	איז	Ayz	_
29	a	D	אַ	Aa	_
30	bafel-form	N	באַפֿעל-פֿאָרם	bAafel-fAorM	_
31	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.126
1	veyter	ADVR	װײטער	VYter	_
2	vi	P	װי	Vy	_
3-4	afn	P~D	אַפֿן	AafN	_
3	af	P	אַף	AaF	_
4	n	D	נ	n	_
5	II	ADJ	איי	Ayy	_
6	ort	N	אָרט	Aort	_
7	shteyt	VBF	שטײט	$tYt	_
8	dos	D	דאָס	dAos	_
9	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
10	letst-zeltn	ADV	לעצט-זעלטן	leqt-zeltN	_
11	,	PUNC	,	,	_
12	ba	P	באַ	bAa	_
13	badingen	N	באַדינגען	bAadyngeN	_
14	,	PUNC	,	,	_
15	vos	C	װאָס	VAos	_
16	me	PRO	מע	me	_
17	darf	MDF	דאַרף	dAarF	_
18	zey	PRO	זײ	zY	_
19	nokh	ADV	נאָך	nAoX	_
20	shtudirn	VB	שטודירן	$tvdyrN	_
21	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.127
1	fn._6	LS	פֿן._6	fN._6	_
2	der	D	דער	der	_
3	shreyber	N	שרײבער	$rYber	_
4	hot	HVF	האָט	hAot	_
5	azoy	ADV	אַזױ	AazW	_
6	nit	NEG	ניט	nyt	_
7	gekont	MDN	געקאָנט	gekAont	_
8	zogn	VB	זאָגן	zAogN	_
9	:	PUNC	:	:	_

SENT	1927E-ZARETSKI-SHOLEM,9.128
1	in	P	אין	AyN	_
2	der	D	דער	der	_
3	erster	ADJ	ערסטער	erster	_
4	konstruktsie	N	קאָנסטרוקציִע	kAonstrvkqyie	_
5	ba	P	באַ	bAa	_
6	mir	PRO	מיר	myr	_
7	tsulib	P	צוליב	qvlyb	_
8	nitsokhn	NPR	נצחון	nqHvN	_
9	iz	VBF	איז	Ayz	_
10	kedai	X	קעדאַיִ	kedAayi	_
11	iz	BEF	איז	Ayz	_
12	aktsentirt	VAN	אַקצענטירט	Aakqentyrt	_
13	sey	CONJ	סײ	sY	_
14	"	PUNC	"	"	_
15	ba	P	באַ	bAa	_
16	mir	PRO	מיר	myr	_
17	"	PUNC	"	"	_
18	,	PUNC	,	,	_
19	sey	CONJ	סײ	sY	_
20	"	PUNC	"	"	_
21	tsulib	P	צוליב	qvlyb	_
22	nitsokhn	NPR	נצחון	nqHvN	_
23	"	PUNC	"	"	_
24	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.129
1	oyb	C	אױב	AWb	_
2	er	PRO	ער	er	_
3	zol	MDF	זאָל	zAol	_
4	shteln	VB	שטעלן	$telN	_
5	tsulib	P	צוליב	qvlyb	_
6	nitsokhn	NPR	נצחון	nqHvN	_
7	iz	VBF	איז	Ayz	_
8	ba	P	באַ	bAa	_
9	mir	PRO	מיר	myr	_
10	kedai	X	קעדאַיִ	kedAayi	_
11	,	PUNC	,	,	_
12	iz	BEF	איז	Ayz	_
13	shoyn	ADV	שױן	$WN	_
14	"	PUNC	"	"	_
15	ba	P	באַ	bAa	_
16	mir	PRO	מיר	myr	_
17	"	PUNC	"	"	_
